sentence,tense
I should have been writing my book report by this morning.,Past Future Perfect Continuous
"My brother would have been studying in Bandung for three years by this year, but he had decided to work in a company a year ago.",Past Future Perfect Continuous
They would have been working on the project if they had prepared well.,Past Future Perfect Continuous
We would have been watching the movie for an hour if you had arrived earlier.,Past Future Perfect Continuous
They should have been recording their new song by this weekend.,Past Future Perfect Continuous
You would have been writing many poems if you had started it last year.,Past Future Perfect Continuous
We would have been working at the largest education startup in Indonesia for one year by the end of last month.,Past Future Perfect Continuous
"Tari and her friends would have been travelling in Bali for three days by last Sunday, but their parents had called them to go home on Saturday night.",Past Future Perfect Continuous
I should have been loving you but unfortunately you never noticed me.,Past Future Perfect Continuous
I would have been writing the article for two days by the end of last week.,Past Future Perfect Continuous
Diana would not have been shooting the short movie for one week by last month.,Past Future Perfect Continuous
The cats would not have been starving for hours if you had come home on time.,Past Future Perfect Continuous
I would not have been staying in my grandmother’s house if my parents had cancelled their business trip.,Past Future Perfect Continuous
"If you had taken your brother to the bookstore, he wouldn’t have been playing games for two hours by 5 p.m. yesterday.",Past Future Perfect Continuous
I would not have been traveling to Canada for one month by the end of last year.,Past Future Perfect Continuous
The students should not have been waiting for their teacher for over an hour.,Past Future Perfect Continuous
I would not have been standing for an hour if you had picked me up.,Past Future Perfect Continuous
She told me that she wouldn’t have been baking the cookies if she had known her neighbor shared foods.,Past Future Perfect Continuous
I wouldn't have been reading all the materials if you had texted me earlier.,Past Future Perfect Continuous
He wouldn’t have been buying some toothpaste in the store.,Past Future Perfect Continuous
Would she have been carrying his baby by now if she had stayed with him?,Past Future Perfect Continuous
Would they have been preparing for the concert for two days by then?,Past Future Perfect Continuous
Shouldn't you have been finishing your homework?,Past Future Perfect Continuous
Would they have been playing games if you had watched them?,Past Future Perfect Continuous
Would they have been decorating the rooms for half an hour by the time I arrived?,Past Future Perfect Continuous
Would they have been eating lunch?,Past Future Perfect Continuous
Would she have been buying makeup applicator in e buy?,Past Future Perfect Continuous
Would he have been selling peanut in a street?,Past Future Perfect Continuous
Wouldn't it have been burdening you for a long time?,Past Future Perfect Continuous
